Date,Tencent,CKLife,Waison,Cowell,quantity,asset,trade_value,portfolio_value
2018-01-02,417.8,0.6,3.82,2.8,,,,100000.0
2018-01-03,422.2,0.6,3.92,2.79,,,,100670.0
2018-01-04,431.8,0.59,4.11,2.77,,,,102001.0
2018-01-05,433.2,0.61,4.14,2.72,,,,102354.0
2018-01-08,438.6,0.6,4.07,2.68,,,,102775.0
2018-01-09,443.8,0.6,3.99,2.73,,,,103319.0
2018-01-10,440.4,0.6,4.05,2.68,,,,102961.0
2018-01-11,429.4,0.61,4.03,2.73,,,,101741.0
2018-01-12,442.2,0.62,4.16,2.7,,,,103538.0
2018-01-15,433.2,0.6,4.01,2.64,,,,102005.0
2018-01-16,444.2,0.62,4.08,2.64,,,,103610.0
2018-01-17,449.0,0.61,4.07,2.6,,,,104049.0
2018-01-18,447.8,0.61,4.26,2.56,,,,104158.0
2018-01-19,452.4,0.62,4.38,2.57,,,,104988.0
2018-01-22,460.0,0.62,4.42,2.54,,,,105936.0
2018-01-23,474.6,0.62,4.4,2.55,,,,107666.0
2018-01-24,469.0,0.62,4.38,2.53,,,,106948.0
2018-01-25,458.0,0.62,4.41,2.46,,,,105617.0
2018-01-26,471.2,0.62,4.4,2.52,,,,107234.0
2018-01-29,471.6,0.62,4.37,2.49,,,,107213.0
2018-01-30,461.8,0.62,4.38,2.41,,,,105988.0
2018-01-31,463.6,0.62,4.38,2.39,,,,106188.0
2018-02-01,460.0,0.61,4.27,2.34,,,,105461.0
2018-02-02,452.4,0.61,4.25,2.42,,,,104583.0
2018-02-05,441.0,0.6,4.15,2.37,,,,102935.0
2018-02-06,410.0,0.58,3.99,2.2,,,,98659.0
2018-02-07,414.8,0.59,3.96,,,,,
2018-02-08,420.2,0.59,3.96,2.18,,,,99912.0
2018-02-09,407.4,0.58,3.97,2.07,,,,98213.0
2018-02-12,409.6,0.58,4.09,2.11,38267.0,CKLife,22194.86,98689.0
2018-02-13,422.4,0.58,4.19,2.25,,,,100487.0
2018-02-14,433.6,0.59,4.2,2.28,,,,102342.67
2018-02-15,447.0,0.59,4.16,2.45,,,,104026.67
2018-02-20,445.8,0.6,4.23,2.51,,,,104508.34
2018-02-21,458.0,0.59,4.17,2.51,,,,105409.67
2018-02-22,446.4,0.59,4.18,2.51,,,,104032.67
2018-02-23,453.4,0.59,4.14,2.5,,,,104804.67
2018-02-26,453.0,0.59,4.15,2.64,,,,104883.67
2018-02-27,446.0,0.59,4.24,2.68,,,,104210.67
