,tencent,cklife,waison,cowell,quantity,asset,trade_value,portfolio_value
2018-01-02,417.8,0.6,3.82,2.8,100.0,tencent,41780.0,100000.0
2018-01-02,417.8,0.6,3.82,2.8,1000.0,waison,3820.0,100000.0
2018-01-02,417.8,0.6,3.82,2.8,10000.0,cklife,6000.0,100000.0
2018-01-02,417.8,0.6,3.82,2.8,1000.0,cowell,2800.0,100000.0
2018-01-03,422.2,0.6,3.92,2.79,,,,100530.0
2018-01-04,431.8,0.59,4.11,2.77,,,,101560.0
2018-01-05,433.2,0.61,4.14,2.72,,,,101880.0
2018-01-08,438.6,0.6,4.07,2.68,,,,102210.0
2018-01-09,443.8,0.6,3.99,2.73,,,,102700.0
2018-01-10,440.4,0.6,4.05,2.68,,,,102370.0
2018-01-11,429.4,0.61,4.03,2.73,,,,101400.0
2018-01-12,442.2,0.62,4.16,2.7,,,,102880.0
2018-01-15,433.2,0.6,4.01,2.64,,,,101570.0
2018-01-16,444.2,0.62,4.08,2.64,,,,102940.0
2018-01-17,449.0,0.61,4.07,2.6,,,,103270.0
2018-01-18,447.8,0.61,4.26,2.56,,,,103300.0
2018-01-19,452.4,0.62,4.38,2.57,,,,103990.0
2018-01-22,460.0,0.62,4.42,2.54,,,,104760.0
2018-01-23,474.6,0.62,4.4,2.55,,,,106210.0
2018-01-24,469.0,0.62,4.38,2.53,,,,105610.0
2018-01-25,458.0,0.62,4.41,2.46,,,,104470.0
2018-01-26,471.2,0.62,4.4,2.52,,,,105840.0
2018-01-29,471.6,0.62,4.37,2.49,,,,105820.0
2018-01-30,461.8,0.62,4.38,2.41,,,,104770.0
2018-01-31,463.6,0.62,4.38,2.39,,,,104930.0
2018-02-01,460.0,0.61,4.27,2.34,,,,104310.0
2018-02-02,452.4,0.61,4.25,2.42,,,,103610.0
2018-02-05,441.0,0.6,4.15,2.37,,,,102220.0
2018-02-06,410.0,0.58,3.99,2.2,,,,98590.0
2018-02-07,414.8,0.59,3.96,,,,,
2018-02-08,420.2,0.59,3.96,2.18,,,,99660.0
2018-02-09,407.4,0.58,3.97,2.07,,,,98180.0
2018-02-12,409.6,0.58,4.09,2.11,,,,98560.0
2018-02-13,422.4,0.58,4.19,2.25,,,,100080.0
2018-02-14,433.6,0.59,4.2,2.28,,,,101340.0
2018-02-15,447.0,0.59,4.16,2.45,,,,102810.0
2018-02-20,445.8,0.6,4.23,2.51,,,,102920.0
2018-02-21,458.0,0.59,4.17,2.51,,,,103980.0
2018-02-22,446.4,0.59,4.18,2.51,,,,102830.0
2018-02-23,453.4,0.59,4.14,2.5,,,,103480.0
2018-02-26,453.0,0.59,4.15,2.64,,,,103590.0
2018-02-27,446.0,0.59,4.24,2.68,,,,103020.0
2018-02-28,432.2,0.6,4.13,2.72,,,,101670.0
2018-03-01,447.0,0.59,4.12,2.79,,,,103110.0
2018-03-02,436.0,0.59,4.08,2.7,,,,101880.0
2018-03-05,425.0,0.58,4.05,2.52,,,,100470.0
2018-03-06,438.6,0.6,4.06,2.57,,,,102090.0
2018-03-07,434.2,0.59,3.99,2.53,,,,101440.0
2018-03-08,443.0,0.59,4.08,2.51,,,,102390.0
2018-03-09,447.0,0.6,4.1,2.61,,,,103010.0
2018-03-12,460.0,0.6,4.08,2.55,,,,104230.0
2018-03-13,462.8,0.6,4.11,2.54,,,,104530.0
2018-03-14,463.6,0.59,4.07,2.47,,,,104400.0
2018-03-15,468.6,0.6,4.04,2.49,,,,104990.0
2018-03-16,465.2,0.59,3.97,2.44,,,,104430.0
2018-03-19,461.8,0.58,4.0,2.4,,,,103980.0
2018-03-20,466.6,0.58,3.96,2.46,,,,104480.0
2018-03-21,462.6,0.58,3.97,2.37,,,,104000.0
2018-03-22,439.4,0.57,4.06,2.4,,,,101700.0
2018-03-23,420.0,0.56,3.93,2.2,,,,99330.0
2018-03-26,426.6,0.57,4.0,2.16,,,,100120.0
2018-03-27,432.2,0.58,4.15,2.19,,,,100960.0
2018-03-28,412.2,0.58,4.1,2.1,,,,98820.0
2018-03-29,409.6,0.57,4.0,2.12,,,,98380.0
2018-04-03,409.4,0.57,4.14,,,,,
2018-04-04,397.6,0.58,4.18,,,,,
2018-04-06,405.8,0.58,4.16,1.98,,,,98120.0
2018-04-09,410.0,0.58,4.16,2.06,,,,98620.0
2018-04-10,417.2,0.56,4.18,2.11,,,,99210.0
2018-04-11,419.6,0.56,4.18,2.05,,,,99390.0
2018-04-12,413.2,0.57,4.2,2.04,,,,98860.0
2018-04-13,408.0,0.56,4.2,2.03,,,,98230.0
2018-04-16,403.0,0.58,4.2,1.97,,,,97870.0
2018-04-17,397.2,0.57,4.18,1.9,,,,97100.0
2018-04-18,400.0,0.58,4.18,1.8,,,,97380.0
2018-04-19,405.8,0.58,4.19,1.86,,,,98030.0
2018-04-20,400.2,0.57,4.21,1.85,,,,97380.0
2018-04-23,394.0,0.56,4.28,1.81,,,,96690.0
2018-04-24,396.6,0.57,4.32,1.82,,,,97100.0
2018-04-25,386.8,0.57,4.31,1.8,,,,96090.0
2018-04-26,382.2,0.56,4.33,1.74,,,,95490.0
2018-04-27,388.4,0.57,4.38,1.77,,,,96290.0
2018-04-30,391.0,0.57,4.4,1.82,,,,96620.0
2018-05-02,393.4,0.56,4.43,1.94,,,,96910.0
2018-05-03,385.0,0.56,4.42,1.92,,,,96040.0
2018-05-04,382.8,0.56,4.5,1.87,,,,95850.0
2018-05-07,380.0,0.58,4.55,1.85,,,,95800.0
2018-05-08,390.6,0.57,4.61,1.88,,,,96850.0
2018-05-09,394.6,0.58,4.63,1.9,,,,97390.0
2018-05-10,406.2,0.58,4.65,1.92,,,,98590.0
2018-05-11,408.8,0.58,4.74,1.89,,,,98910.0
2018-05-14,411.8,0.57,4.78,1.94,,,,99200.0
2018-05-15,398.0,0.57,4.8,1.93,,,,97830.0
2018-05-16,396.2,0.59,4.81,1.92,,,,97850.0
2018-05-17,411.0,0.59,4.8,1.91,,,,99310.0
2018-05-18,411.0,0.58,4.46,1.9,,,,98860.0
2018-05-21,408.0,0.58,4.47,1.88,,,,98550.0
2018-05-23,407.0,0.58,4.6,1.84,,,,98540.0
2018-05-24,407.0,0.59,4.64,1.81,,,,98650.0
2018-05-25,404.0,0.59,4.69,1.79,,,,98380.0
2018-05-28,405.2,0.58,4.73,1.86,,,,98510.0
2018-05-29,402.0,0.58,4.72,1.81,,,,98130.0
2018-05-30,395.0,0.56,4.7,1.79,,,,97190.0
2018-05-31,399.2,0.57,4.59,1.8,,,,97610.0
2018-06-01,404.0,0.58,4.57,1.8,,,,98170.0
2018-06-04,415.0,0.58,4.6,1.82,,,,99320.0
2018-06-05,420.0,0.58,4.41,1.87,,,,99680.0
2018-06-06,425.0,0.57,4.62,2.17,,,,100590.0
2018-06-07,429.2,0.57,4.62,2.07,,,,100910.0
2018-06-08,415.0,0.56,4.62,2.12,,,,99440.0
2018-06-11,419.0,0.56,4.69,2.05,,,,99840.0
2018-06-12,417.4,0.56,4.71,2.01,,,,99660.0
2018-06-13,415.2,0.56,4.86,1.97,,,,99550.0
2018-06-14,412.0,0.56,4.75,1.95,,,,99100.0
2018-06-15,410.0,0.56,4.34,1.91,,,,98450.0
2018-06-19,396.8,0.55,4.12,1.69,,,,96590.0
2018-06-20,400.2,0.55,4.15,1.77,,,,97040.0
2018-06-21,396.8,0.55,4.36,1.73,,,,96870.0
2018-06-22,397.4,0.55,4.35,1.72,44.0,tencent,17485.6,96910.0
2018-06-25,388.8,0.55,4.28,1.73,,,,95611.6
2018-06-26,386.0,0.55,4.24,1.66,,,,95098.4
2018-06-27,377.4,0.53,4.24,1.61,,,,93610.0
2018-06-28,379.0,0.54,4.1,1.65,,,,93840.4
2018-06-29,393.8,0.54,4.26,1.68,,,,96161.6
2018-07-03,390.8,0.53,4.09,1.66,,,,95439.6
2018-07-04,383.0,0.53,4.1,1.61,,,,94276.4
2018-07-05,385.6,0.52,3.99,1.59,,,,94420.79999999999
2018-07-06,386.6,0.52,4.09,1.58,,,,94654.79999999999
2018-07-09,396.0,0.53,4.22,1.63,,,,96288.4
2018-07-10,386.8,0.52,4.22,1.61,,,,94843.6
2018-07-11,379.4,0.51,4.14,1.58,,,,93568.0
2018-07-12,380.0,0.51,4.16,1.66,,,,93754.4
2018-07-13,381.0,0.52,4.19,1.64,,,,94008.4
2018-07-16,381.4,0.52,4.15,1.61,,,,93996.0
2018-07-17,375.8,0.51,4.12,1.6,,,,93049.6
2018-07-18,378.0,0.52,4.15,1.62,,,,93516.4
2018-07-19,375.6,0.52,4.16,1.61,,,,93170.8
2018-07-20,376.6,0.52,4.17,1.6,,,,93314.8
2018-07-23,371.0,0.52,4.19,1.58,,,,92508.4
2018-07-24,375.2,0.52,4.24,1.66,,,,93243.2
2018-07-25,379.8,0.52,4.2,1.7,,,,93905.6
2018-07-26,374.8,0.52,4.23,1.67,,,,93185.6
2018-07-27,373.0,0.52,4.24,1.67,,,,92936.4
2018-07-30,367.2,0.52,4.23,1.69,,,,92111.2
2018-07-31,355.2,0.53,4.2,1.65,,,,90413.2
2018-08-01,355.0,0.52,4.24,1.58,,,,90254.4
2018-08-02,345.0,0.53,4.2,1.59,,,,88884.4
2018-08-03,349.8,0.52,4.24,1.57,,,,89495.6
2018-08-06,353.0,0.52,4.19,1.59,,,,89926.4
2018-08-07,357.0,0.52,4.16,1.59,,,,90472.4
2018-08-08,364.0,0.52,4.08,1.6,,,,91410.4
2018-08-09,372.6,0.52,4.03,1.6,,,,92598.8
2018-08-10,370.0,0.52,3.99,1.58,,,,92164.4
2018-08-13,361.0,0.52,3.85,1.54,,,,90688.4
2018-08-14,348.6,0.52,3.85,1.43,,,,88792.8
2018-08-15,336.0,0.51,3.8,1.33,,,,86728.4
2018-08-16,325.8,0.5,3.79,1.38,,,,85199.6
2018-08-17,337.0,0.5,3.82,1.31,-2630.0,cklife,-1315.0,86772.4
2018-08-20,350.8,0.5,3.81,1.31,,,,88749.6
2018-08-21,350.6,0.51,3.87,1.35,,,,88894.5
2018-08-22,359.4,0.51,4.07,1.33,,,,90341.7
2018-08-23,359.0,0.5,4.02,1.31,,,,90140.4
2018-08-24,354.0,0.51,4.0,1.31,,,,89474.1
2018-08-27,361.0,0.51,4.14,1.32,,,,90632.1
2018-08-28,365.4,0.51,4.09,1.32,102.0,tencent,37270.8,91215.69999999998
2018-08-29,360.8,0.51,4.05,1.32,,,,90044.1
2018-08-30,357.4,0.5,3.95,1.29,,,,89004.0
2018-08-31,340.0,0.5,3.96,1.32,,,,84763.6
2018-09-03,332.8,0.5,4.0,1.32,,,,83032.4
2018-09-04,338.6,0.5,4.06,1.36,,,,84559.20000000001
2018-09-05,324.8,0.5,4.05,1.33,,,,81124.4
2018-09-06,314.6,0.495,4.08,1.3,,,,78578.35
2018-09-07,316.8,0.51,4.02,1.3,,,,79170.1
2018-09-10,313.6,0.49,3.9,1.23,,,,78045.5
2018-09-11,308.0,0.49,3.99,1.16,-58.0,tencent,-17864.0,76687.9
2018-09-12,308.4,0.475,3.99,1.16,,,,76652.54999999999
2018-09-13,323.8,0.485,4.15,1.2,,,,79821.45000000001
2018-09-14,330.0,0.475,4.16,1.18,,,,80903.35
2018-09-17,319.2,0.48,4.01,1.15,,,,78729.79999999999
2018-09-18,318.0,0.475,4.2,1.18,,,,78687.35
2018-09-19,321.6,0.495,4.21,1.19,,,,79531.55000000002
2018-09-20,324.2,0.485,4.17,1.19,,,,79906.65
2018-09-21,334.4,0.48,4.2,1.21,,,,81837.4
2018-09-24,327.8,0.475,4.18,1.19,,,,80519.75
2018-09-26,330.0,0.485,4.18,1.18,,,,80997.04999999999
2018-09-27,325.4,0.48,4.26,1.16,,,,80155.4
2018-09-28,323.2,0.48,3.96,1.18,,,,79461.79999999999
2018-10-02,317.0,0.475,3.88,1.14,,,,78139.35
2018-10-03,316.0,0.475,3.81,1.13,,,,77871.35
2018-10-04,308.4,0.475,3.78,1.14,,,,76422.54999999999
2018-10-05,305.0,0.47,3.85,1.1,,,,75776.5
2018-10-08,299.0,0.465,3.88,1.07,,,,74611.65
2018-10-09,293.8,0.46,3.89,1.03,,,,73567.2
2018-10-10,286.4,0.445,3.86,0.99,,,,71995.45
2018-10-11,267.0,0.42,3.66,0.89,,,,67864.0
2018-10-12,288.4,0.42,3.75,0.92,,,,72007.2
2018-10-15,282.8,0.42,3.75,0.84,,,,70874.4
2018-10-16,281.4,0.41,3.66,0.86,,,,70467.5
